Project Code,Country,Managed By,Fulfill Via,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Line Item Quantity,Line Item Value,Pack Price,Unit Price,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
102-NG-T01,Nigeria,PMO - US,Direct Drop,Air,10-Jan-07,10-Jan-07,HRDT,HIV test,EY Laboratories,"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests","HIV 1/2, InstantChek HIV 1+2 Kit",InstantCHEK,10,850.0,85.0,0.85,1047.0,5869.655000000001,47.04
106-HT-T01,Haiti,PMO - US,Direct Drop,Air,18-Jan-07,18-Jan-07,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,750,60000.0,80.0,0.8,256.0,1760.32,47.04
113-ZW-T01,Zimbabwe,PMO - US,Direct Drop,Air,19-Mar-07,19-Mar-07,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Didanosine,Videx,579,14764.5,25.5,0.42,1047.0,5869.655000000001,47.04
102-NG-T01,Nigeria,PMO - US,Direct Drop,Unknown,7-May-07,7-May-07,HRDT,HIV test,ACCOUN NIGERIA LIMITED,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,1500,120000.0,80.0,0.8,1047.0,5869.655000000001,192.0
107-RW-T01,Rwanda,PMO - US,Direct Drop,Air,29-Mar-07,29-Mar-07,HRDT,HIV test,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,2000,33000.0,16.5,0.55,710.0,3120.7,47.04
109-TZ-T01,Tanzania,PMO - US,Direct Drop,Air,6-Jun-07,6-Jun-07,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Didanosine,Videx,712,8964.08,12.59,0.06,162.0,912.96,47.04
102-NG-T01,Nigeria,PMO - US,Direct Drop,Air,19-Jun-07,19-Jun-07,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,1000,80000.0,80.0,0.8,341.0,2682.47,128.0
102-NG-T01,Nigeria,PMO - US,Direct Drop,Air,19-Jun-07,19-Jun-07,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,7500,202500.0,27.0,1.35,2278.0,15893.71,47.04
104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,Air,2-Oct-07,2-Oct-07,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Didanosine,Videx,5513,140581.5,25.5,0.42,2126.0,5869.655000000001,224.93
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,15-Oct-07,15-Oct-07,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,1000,1920.0,1.92,0.01,941.0,4193.49,3.07
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,27-Aug-07,27-Aug-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,500,41095.0,82.19,0.68,117.0,1767.38,65.75
100-HT-T01,Haiti,PMO - US,Direct Drop,Air,13-Aug-07,21-Aug-07,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,750,53992.5,71.99,0.72,171.0,3518.38,86.39
100-HT-T01,Haiti,PMO - US,Direct Drop,Air,25-Aug-07,25-Aug-07,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,25,8750.0,350.0,3.5,60.0,3097.85,14.0
116-ZA-T01,South Africa,PMO - US,Direct Drop,Unknown,29-Jan-08,29-Jan-08,ARV,Pediatric,"JSI R&T INSTITUTE, INC.","Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml",Zidovudine,Retrovir,40,317.6,7.94,0.04,1047.0,5869.655000000001,0.51
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,21-Jan-08,21-Jan-08,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.","Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,1000,17000.0,17.0,0.57,76.0,2282.57,27.2
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,21-Jan-08,21-Jan-08,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,400,3352.0,8.38,0.14,23.0,2149.05,5.36
107-RW-T01,Rwanda,PMO - US,Direct Drop,Air,31-Jan-08,31-Jan-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,1500,15.0,0.01,0.0,99.0,0.75,0.02
123-NG-T01,Nigeria,PMO - US,Direct Drop,Air,5-Feb-08,5-Feb-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,650,6.5,0.01,0.0,1047.0,5869.655000000001,0.01
116-ZA-T01,South Africa,PMO - US,Direct Drop,Unknown,21-Jan-08,4-Jan-08,ARV,Pediatric,"JSI R&T INSTITUTE, INC.","Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,200,340.0,1.7,0.01,1047.0,5869.655000000001,0.54
125-HT-T01,Haiti,PMO - US,Direct Drop,Air,18-Feb-08,18-Feb-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,2,278.0,139.0,1.39,1047.0,5869.655000000001,0.44
104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,Air,17-Jun-08,17-Jun-08,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,476,36176.0,76.0,1.9,509.0,5446.51,57.88
104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,Air,19-Mar-09,19-Mar-09,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,659,13180.0,20.0,0.8,206.0,2656.12,25.83
102-GY-T01,Guyana,PMO - US,Direct Drop,Air,9-Apr-08,1-Apr-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,240,2.4,0.01,0.0,1047.0,5869.655000000001,0.0
102-GY-T01,Guyana,PMO - US,Direct Drop,Air,28-Jul-08,28-Jul-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,213,2.13,0.01,0.0,14.0,360.0,0.0
117-ET-T01,Ethiopia,PMO - US,Direct Drop,Unknown,11-Mar-08,11-Mar-08,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,63,13399.25,212.69,2.13,1047.0,5869.655000000001,21.44
113-ZW-T01,Zimbabwe,PMO - US,Direct Drop,Air,17-Nov-08,17-Nov-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,1634,117631.66,71.99,0.72,373.0,4112.46,188.21
123-NG-T01,Nigeria,PMO - US,Direct Drop,Air,17-Apr-08,17-Apr-08,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,1425,38475.0,27.0,1.35,483.0,5468.88,61.56
119-NA-T01,Namibia,PMO - US,Direct Drop,Air,4-Jun-08,4-Jun-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,142,10222.58,71.99,0.72,33.0,1715.17,16.36
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,3-Jun-08,3-Jun-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,8400,96432.0,11.48,0.38,654.0,4051.34,154.29
116-ZA-T01,South Africa,PMO - US,Direct Drop,Truck,24-Apr-08,24-Apr-08,ARV,Adult,S. BUYS WHOLESALER,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,Invirase,6,405.06,67.51,0.25,1047.0,5869.655000000001,0.65
116-ZA-T01,South Africa,PMO - US,Direct Drop,Truck,24-Apr-08,24-Apr-08,ARV,Pediatric,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,600,870.0,1.45,0.01,1047.0,5869.655000000001,1.39
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,12-Jul-08,12-Jul-08,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,400,2800.0,7.0,0.12,81.0,2211.05,4.48
116-ZA-T01,South Africa,PMO - US,Direct Drop,Unknown,25-Apr-08,7-Apr-08,ARV,Pediatric,S. BUYS WHOLESALER,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,6,77.1,12.85,0.21,1047.0,5869.655000000001,0.12
102-NG-T01,Nigeria,PMO - US,Direct Drop,Air,9-Jul-08,4-Jul-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,5498,54.98,0.01,0.0,1047.0,5869.655000000001,0.09
117-ET-T01,Ethiopia,PMO - US,Direct Drop,Air,9-May-08,9-May-08,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,15,691.42,46.09,2.3,1047.0,5869.655000000001,1.11
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,19-Sep-08,19-Sep-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,1344,18359.04,13.66,0.46,1537.0,13507.92,29.37
116-ZA-T01,South Africa,PMO - US,Direct Drop,Truck,20-Aug-08,20-Aug-08,ARV,Adult,S. BUYS WHOLESALER,"Stavudine 20mg [Zerit], capsules, 60 Caps",Stavudine,Zerit,20,103.4,5.17,0.09,1047.0,5869.655000000001,0.2
116-ZA-T01,South Africa,PMO - US,Direct Drop,Truck,20-Aug-08,8-May-08,ARV,Adult,S. BUYS WHOLESALER,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,100,1906.0,19.06,0.64,1047.0,5869.655000000001,3.05
116-ZA-T01,South Africa,PMO - US,Direct Drop,Truck,20-Aug-08,8-May-08,ARV,Pediatric,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,670,1025.1,1.53,0.01,1047.0,5869.655000000001,1.64
109-TZ-T01,Tanzania,PMO - US,Direct Drop,Air,2-Sep-08,2-Sep-08,ARV,Adult,BRISTOL-MYERS SQUIBB,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,2597,61470.99,23.67,0.79,117.0,645.1,98.35
106-HT-T01,Haiti,PMO - US,Direct Drop,Air,30-Sep-08,30-Sep-08,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,28,9800.0,350.0,3.5,109.0,782.13,15.68
106-HT-T01,Haiti,PMO - US,Direct Drop,Air,24-Nov-08,24-Nov-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,84,11676.0,139.0,1.39,54.0,871.57,22.88
116-ZA-T01,South Africa,PMO - US,Direct Drop,Truck,12-Jun-08,9-Jun-08,ARV,Adult,S. BUYS WHOLESALER,"Abacavir 300mg [Ziagen], tablets, Blister 6 x 10 Tabs",Abacavir,Ziagen,30,1049.4,34.98,0.58,1047.0,5869.655000000001,1.68
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,19-Sep-08,19-Sep-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,38640,92736.0,2.4,0.04,2719.0,18614.72,148.38
112-NG-T01,Nigeria,PMO - US,Direct Drop,Air,25-Feb-09,9-Sep-08,ACT,ACT,IDA FOUNDATION,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",Artemether/Lumefantrine,Coartem,34,1547.68,45.52,0.08,115.0,1755.87,2.48
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,8-Oct-08,8-Oct-08,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,42000,60900.0,1.45,0.02,2600.0,10179.16,97.44
116-ZA-T01,South Africa,PMO - US,Direct Drop,Truck,10-Jul-08,8-Jul-08,ARV,Pediatric,S. BUYS WHOLESALER,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",Nevirapine,Viramune,50,696.5,13.93,0.06,1047.0,5869.655000000001,1.11
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,27-Nov-08,27-Nov-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,16800,171192.0,10.19,0.34,1224.0,4686.88,335.54
102-GY-T01,Guyana,PMO - US,Direct Drop,Air,15-Aug-08,15-Aug-08,MRDT,Malaria,ZEPHYR BIOMEDICALS,"Malaria Paramax-3 Kit, 25 Tests",Malaria Paramax-3 Kit,Paramax,98,3675.0,37.5,1.5,34.0,180.0,5.88
110-ZM-T01,Zambia,PMO - US,Direct Drop,Air,20-Oct-08,20-Oct-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,4500,323955.0,71.99,0.72,1053.0,11062.05,634.95
119-NA-T01,Namibia,PMO - US,Direct Drop,Air,18-Sep-08,18-Sep-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,10,320.0,32.0,1.6,1047.0,5869.655000000001,0.51
104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,Air,2-Oct-08,2-Oct-08,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,500,38000.0,76.0,1.9,562.0,11298.13,60.8
104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,Air,23-Jan-09,23-Jan-09,ACT,ACT,IDA FOUNDATION,"Artesunate+Amodiaquine 50+153mg, tablets, co-blister 6+6 Tabs",Artesunate+Amodiaquine,Generic,25000,9750.0,0.39,0.03,1708.0,12830.91,19.11
131-NG-T01,Nigeria,PMO - US,Direct Drop,Air,10-Mar-09,8-Apr-09,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Atripla,9,453.6,50.4,1.68,1047.0,5869.655000000001,0.89
119-NA-T01,Namibia,PMO - US,Direct Drop,Air,29-Oct-08,29-Oct-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,150,10798.5,71.99,0.72,46.0,2698.04,21.17
102-BW-T01,Botswana,PMO - US,Direct Drop,Air,28-Nov-08,28-Nov-08,HRDT,HIV test - Ancillary,"Trinity Biotech, Plc","#109436**HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml","HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml",Uni-Gold,15,450.0,30.0,15.0,1.0,578.01,0.88
110-ZM-T01,Zambia,PMO - US,Direct Drop,Air,23-Jan-09,23-Jan-09,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,319,6380.0,20.0,0.8,100.0,1122.24,12.5
116-ZA-T01,South Africa,PMO - US,Direct Drop,Truck,17-May-09,9-Oct-08,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,80,1830.4,22.88,0.76,1047.0,5869.655000000001,3.59
116-ZA-T01,South Africa,PMO - US,Direct Drop,Truck,17-May-09,17-May-09,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,120,2745.6,22.88,0.76,1047.0,5869.655000000001,5.38
116-ZA-T01,South Africa,PMO - US,Direct Drop,Truck,17-May-09,9-Oct-08,ARV,Pediatric,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,600,858.0,1.43,0.01,1047.0,5869.655000000001,1.68
116-ZA-T01,South Africa,PMO - US,Direct Drop,Truck,17-May-09,9-Oct-08,ARV,Pediatric,S. BUYS WHOLESALER,"Didanosine 100mg [Videx],chewable tablets, 60 Tabs",Didanosine,Videx,7,91.35,13.05,0.22,1047.0,5869.655000000001,0.18
116-ZA-T01,South Africa,PMO - US,Direct Drop,Truck,17-May-09,9-Oct-08,ARV,Pediatric,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,40,1375.6,34.39,0.11,1047.0,5869.655000000001,2.7
102-GY-T01,Guyana,PMO - US,Direct Drop,Air,6-Feb-09,6-Feb-09,MRDT,Malaria,ZEPHYR BIOMEDICALS,"Malaria Paramax-3 Kit, 25 Tests",Malaria Paramax-3 Kit,Paramax,108,4050.0,37.5,1.5,1047.0,5869.655000000001,7.94
111-MZ-T01,Mozambique,PMO - US,Direct Drop,Air,23-Mar-09,23-Mar-09,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,5700,182400.0,32.0,1.6,1906.0,23914.8,357.5
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,10-Apr-09,10-Apr-09,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,21000,50400.0,2.4,0.04,1047.0,5869.655000000001,98.78
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,23-Mar-09,23-Mar-09,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,10560,72864.0,6.9,0.12,924.0,4225.93,142.81
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,16-Mar-09,16-Mar-09,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,2352,20250.72,8.61,0.14,211.0,892.5,39.69
109-TZ-T01,Tanzania,PMO - US,Direct Drop,Air,28-May-09,28-May-09,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,524,21536.4,41.1,0.14,644.0,6668.61,42.21
109-TZ-T01,Tanzania,PMO - US,Direct Drop,Air,4-May-09,4-May-09,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,2094,21526.32,10.28,0.17,237.0,5869.655000000001,42.19
107-RW-T01,Rwanda,PMO - US,Direct Drop,Air,28-Apr-09,28-Apr-09,HRDT,HIV test,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,8249,185602.5,22.5,0.75,2800.0,12595.81,363.78
123-NG-T01,Nigeria,PMO - US,Direct Drop,Air,30-Sep-09,30-Sep-09,ARV,Adult,BRISTOL-MYERS SQUIBB,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,200,4734.0,23.67,0.79,11.0,463.0,9.28
106-HT-T01,Haiti,PMO - US,Direct Drop,Air,31-Mar-09,31-Mar-09,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 50mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,80,760.0,9.5,0.16,43.0,260.0,1.49
106-HT-T01,Haiti,PMO - US,Direct Drop,Air,31-Mar-09,31-Mar-09,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Didanosine,Videx,32,402.88,12.59,0.06,1047.0,5869.655000000001,0.79
106-HT-T01,Haiti,PMO - US,Direct Drop,Air,15-Apr-09,15-Apr-09,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,46,472.88,10.28,0.17,10.0,893.22,0.93
